County,2010,2011,2012,2013,2014,2015,2016,2017
Bernalillo,86.2,86.6,87.2,87.4,87.8,87.9,88.1,88.5
Catron,86,86.8,85.7,88.1,90.9,94.1,92.3,95.2
Chaves,76.3,76.4,77.9,77.7,78.1,78.1,78.1,78.3
Cibola,76.4,77.4,80.7,79.9,80.5,81.4,80.1,80.7
Colfax,86,86.5,86.4,86.6,86.9,88.6,88.7,88.6
Curry,81.5,81.4,80.9,81.5,82.1,82.4,83.2,83.1
De Baca,79,77.1,78.7,80.7,82.1,83.2,85.9,87.2
Dona Ana,75.5,76.1,76.9,77.5,78,78.3,79,79.2
Eddy,80.2,80.6,79.9,80.9,82,83.2,84.5,84.8
Grant,85.3,85.2,84.1,83.7,85.2,84.7,86,87.2
Guadalupe,80,77.8,81.9,79.4,75.2,74.9,75.9,77.7
Harding,89.8,88.4,88.2,89.8,89.2,88.5,89,89.7
Hidalgo,77.7,79.4,78.7,78,76.8,76.4,76.9,78.9
Lea,72.7,72.5,70.9,71.3,71.4,71.9,71.8,72.9
Lincoln,86.5,86.5,86.2,86,86.6,88.3,89.5,91.4
Los Alamos,99.3,98.6,97.4,97,97.2,97,97.2,98
Luna,69.5,69.8,70.1,68.5,69.5,68.7,69.3,67.1
McKinley,69.6,71,71.1,73,72.8,73.6,73.8,74.8
Mora,85.1,86.8,88.2,84.1,80.2,83.6,87.7,89.2
Otero,85,84.2,83.7,83.7,84.5,83,83.7,84.5
Quay,77.3,78.3,80.9,81.5,81.4,84,83.5,84.4
Rio Arriba,78.6,78,78.3,79.2,79.2,81.5,84.2,85.3
Roosevelt,77.8,79.1,80,80.4,80.6,80.1,79.8,79.5
Sandoval,90.3,90.2,90.6,90.8,90.9,90.5,90.8,90.4
San Juan,80.9,80.7,81.5,81.6,82.4,82.2,83.5,83.7
San Miguel,81.9,82.3,82.9,83.9,82.3,81.7,81.8,80.5
Santa Fe,86.3,86.8,86.7,87,87.6,87.7,88.3,88.9
Sierra,83.9,84.7,85.4,84,84.7,83.1,82.8,84.1
Socorro,79.7,77.8,79.5,78.7,77.8,76.8,79.7,76.8
Taos,88.3,88.4,88,87.5,86.6,87.4,87.7,87.5
Torrance,77.2,81.6,82.6,80.7,82.8,83.1,82.3,83.9
Union,84.1,82.2,77.8,77.3,80.3,80.1,78.4,78.3
Valencia,80.1,81.4,82,80.7,80.6,81.4,81.7,82.2
